defect_id,severity,criterion_id,summary,reproduction,environment,revision,owner,status,disposition,closure_evidence
DEF-001,P1,G2-04,小青把 mock 降级话术当成真实 AI 回答展示,assistant.js 只取 res.reply 丢掉服务端专门透出的 aiGenerated；AI 不可用时预置话术与真实模型回答在界面上完全一样,local（源码走查）,建包时已存在 —— 修复于 7ec0577f7,Claude,CLOSED,按 aiGenerated 判定并挂 fallbackNote 显式说明「不是模型生成的回答」。违反 CLAUDE.md §9 不伪造能力,EV-023
DEF-002,P1,G2-04,简历诊断的 OCR 低置信度提示从未渲染,normalize.js 按 typeof confidence === 'number' 判定，而后端声明的是字符串枚举 high/medium/low；noticeConfidence 恒为 null，wxml 条件恒 false,local（源码走查）,建包时已存在 —— 修复于 75752bdb3f98,Claude,CLOSED,改按枚举判定；low 与 medium 都提醒并显示等级。后果是扫描件简历拿到看似确定的评分却无任何可靠性提示,EV-023
DEF-003,P2,G2-01,app.json 注册了当时尚未提交的 pages/resume-build,修订 ec552bb8111a 上 git ls-files 该目录为空但 app.json 第 26 行已注册；干净检出后静态门禁三处断言会转红,local,ec552bb8111a —— 关闭于 75752bdb3f98,Claude,CLOSED,页面源码已提交。机制性风险仍在：为让「跳转目标已注册」通过，路由与注册会先于页面本体落地；真正的防线是在干净检出上跑门禁,EV-022
DEF-004,P1,G2-02,新增的两个门禁脚本名未接入 CI 执行闭包，本分支进 CI 会在 Repository integrity gate 直接转红,verify:static 里用 node ... && node ... 串联；verify-ci-gate-coverage.mjs 的闭包展开器只跟踪 pnpm/npm 调用，判定 miniapp::verify:api-contract 与 verify:visual-scale 未接线,local,建包时已存在 —— 修复于 eff92ac9c063,Claude,CLOSED,改为 pnpm run 串联；覆盖率 369/377 → 371/377 且退出码 0,EV-024
DEF-005,P3,G1-05,提交 message 自称「契约门禁通过」而实际未跑,7796e542 加了三个简历生成端点却没跑 contract:update --write；门禁如实报了 UNDECLARED 但没人看,local,7796e5424 —— 修复于 ec552bb8111a,Claude,CLOSED,补上快照（114→117 端点）。同类失误本轮出现三次（还有一次 variant 改动后未重跑、一次新增门禁脚本名后未跑覆盖率检查）——门禁是好的，问题在没看输出,EV-018
DEF-006,P2,G2-04,policy-check / job-materials 卡片内容贴住 1px 边框,发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。全局 .card（app.wxss:257）有 background/radius/border/margin/overflow 但无 padding——内距在 .card-inner:270。这两页所有卡片都用裸 .card 且内层类也不带 padding，题目文字、模板描述和整宽输入框直接贴边,local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 453f92799,Claude,CLOSED,"用页级 .card { padding: 16px } 覆盖。取 16px 而非 32rpx 是为了与别页 .card-inner 的卡片内距逐像素一致。不改全局 .card：会把 fair-venue 的整幅行卡撑出双重内距，并外溢到所有共用页面（本轮实测 pages/ 下 27 个 wxml 直接写 class=""card""；提交 message 里的 58 未复现，按实测口径写）",EV-032
DEF-007,P1,G2-04,policy-check 加载失败态整块拿不到任何样式，唯一出口不像按钮且低于触控下限,发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。.empty-wrap / .state-icon / .state-title / .state-desc / .retry-btn 这 5 个类在 app.wxss 与 policy-check.wxss 各 grep 0 命中（已在父修订上复核）。别的页面各自在自己 wxss 里定义同名一套，而页面 wxss 不跨页生效。接口一失败就是满屏贴边四行黑字，「重新加载」可点高度只有 24.8px（低于 CLAUDE.md §9 的 48px 下限），而它是这一屏唯一的出口；取问项失败在首屏就可能命中,local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 0c04cec15,Claude,CLOSED,按 fair-companies.wxss 的同名类逐值补齐，保证跨页观感一致；.retry-btn 取 112rpx=56px 满足主按钮下限。**修复未在渲染环境验证过**,EV-032
DEF-008,P2,G2-04,policy-check 结果页主按钮无配色变体，退化成一行居中文字,"发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。policy-check.wxml:110 写的是 class=""btn lg block tap""。app.wxss 的 .btn 基类只给 height/padding/radius/font/border:none，background 与 color 全在 .primary/.ghost/.dark/.clay/.plum/.ghost-ink/.wx 变体里，这一处一个都没带——透明底无描边压在 .actionbar 的白底上。同页另一分支带了 primary",local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 0c04cec15,Claude,CLOSED,补 ghost 而非 primary：这是结果页的「重来」，不是要引导用户点的主动作,EV-032
DEF-009,P3,G2-04,policy-check 结果卡 .r-foot 是条件空壳，渲染出断头分隔线,发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。.r-foot 无条件渲染，内部两个 text 分别由 sourceName（默认 ''）与 manualReviewRequired（默认 false）控制，可同时为假；此时 .r-foot 的 border-top + padding-top 仍占位，卡片底部多一条横线、线下 17px 全空,local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 0c04cec15,Claude,CLOSED,改为 wx:if 两者任一为真才渲染,EV-032
DEF-010,P1,G2-04,pages/resume-build 全站无 UI 入口，完整页面不可达（死循环）,发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。全仓引用搜索：除自身四件套与 app.json:26 注册外，唯一引用是 ai-records.js:9 的记录回看路由，而那个列表在用户成功生成过一次之前是空的——要先有记录才能进页面，要进页面才能产生记录。页面本身 1467 行完整实现、三个后端端点都在 api-contract.json 的 endpoints 里（不在 knownMissing）,local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 f14cd5093,Claude,CLOSED,入口加在「职业生活圈」Tab 的 groups.prepare，排在简历诊断/优化之前（那两条都以「已有一份简历」为前提），并同步补 tapEntry 的 routes 映射否则磁贴是静默死按钮。**这是入口漏接不是功能未完成；没有任何门禁能发现这一类**,EV-032
DEF-011,P2,G2-04,self-explore 雷达画布超出卡片内容盒（主流 iPhone 全中）,发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。原式 windowWidth-48 是拍的，容器链实际占用 66（.card margin 16×2 + border 1×2 + .card-inner padding 16×2，三层都 border-box）。375/390/393pt 上画布比内容盒宽 13~18px；.radar-wrap 是 align-items:center，超出部分从两侧各吃一半内边距，16px 余量掉到 7px。不会被裁（.card overflow:hidden 裁切线在 windowWidth-34）、不报错、不留痕,local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 f14cd5093,Claude,CLOSED,改为按容器链实算；同时去掉写死的 260 下限（固定下限一旦大于内容盒即把同一 bug 原样搬回）。六个宽度复核画布均 ≤ 内容盒。**canvas 只有渲染出来才知道对不对，本处修复未渲染验证**,EV-032
DEF-012,P3,G2-04,job-materials 底栏按钮挤在左侧，右侧空 56px,发现方式：读代码静态推导，不是门禁报的（同修订静态门禁 110 条全绿）。.jm-bar 是 .actionbar（display:flex）的子项却没有 flex:1，flex-basis:auto 使其按 max-content 定宽 287px，在 343px 可用宽里靠左；子元素的 flex:1/2 只能在这个已缩过的父容器里分配。逐页扫过全部 26 个用 .actionbar 的页面，本页是唯一在 actionbar 里套中间容器的,local（源码走查）,eff92ac9c063 上仍存在 —— 修复于 f14cd5093,Claude,CLOSED,按其它页面做法删掉包裹层，1:2 比例挂到按钮上，gap 随 .actionbar 统一为 12px,EV-032
