criterion_id,gate,journey,requirement,priority,verification_method,environment,evidence_ref,owner,status,notes
G0-01,G0,PROJECT,"Problem, target users, and accountable owner are approved",MUST,document review,planning,EV-010,产品负责人,PASS,定位、用户、四 Tab 与页面范围已定版
G0-02,G0,PROJECT,Measurable outcome has baseline and target,MUST,metric review,planning,,TBD,PENDING,北极星指标写在 miniprogram-os-architecture-plan §3.3，但本批未设基线与目标值
G0-03,G0,PROJECT,"Scope, non-goals, assumptions, and constraints are approved",MUST,scope review,planning,EV-011,产品负责人,PASS,不做招聘闭环、只做第三方来源入口的非目标已明确
G0-04,G0,PROJECT,"Product, technology, data, provider, compliance, cost, and schedule feasibility are assessed",MUST,feasibility review,planning,EV-010,产品负责人,PASS,可行性与合规约束既有
G0-05,G0,PROJECT,"Funding, staffing, decision rights, milestones, and stop conditions are named",MUST,governance review,planning,,TBD,PENDING,止损条件已在生态规划中给出（单机毛利/付费转化/次月留存），但未定预算与里程碑日期
G1-01,G1,J-01,Critical journey and actor are defined,MUST,scope review,planning,EV-012,Claude,PASS,关键旅程：行前计划→展位导览→参展企业→现场打材料→出纸；建包后新增的批 3 三页已并入 scope.md「Committed Scope」
G1-02,G1,J-01,"Business rules, permissions, data lifecycle, and failure behavior are unambiguous",MUST,rule and state review,planning,EV-013,Claude,PASS,合规口径逐条写进代码注释：applyNote 必展示、null 不显示为 0、生成≠已打印；新增 R-08（ai-records 的招聘会规划有意不给跳转）
G1-03,G1,J-01,UI states and content are reviewable at appropriate fidelity,MUST,experience review,planning,,TBD,PENDING,UI 状态只在代码里成立，从未在开发者工具中看过——与 G3-01 同一缺口。抽查清单在 docs/acceptance/miniapp-fair-onsite-visual-spotcheck-2026-09-02.md（已扩到 9 页 / 7 项 + §4A 两条「只有你看一眼才能定修法」的；清单不是证据，故 evidence_ref 留空）｜2026-09-02 22:25：待查面又变大了——本轮修的 8 处渲染缺陷（DEF-006~013）一处都没渲染验证过
G1-04,G1,J-01,"APIs, events, schemas, migrations, and external contracts are versioned",MUST,contract review,planning,EV-018,Claude,PASS,117 个端点契约快照，含 12 条带原因的已知缺口豁免（建包时为 105）
G1-05,G1,J-01,Acceptance criteria are observable,MUST,acceptance review,planning,EV-015,Claude,PASS,逐批写明门禁与未验证项
G1-06,G1,PROJECT,"Rollout, migration, compatibility, telemetry, and rollback needs influence design",MUST,technical decision review,planning,,TBD,PENDING,兼容性由静态门禁覆盖；遥测与回滚未涉及（小程序尚未发布）｜条目级无 PARTIAL：未全部满足即记 PENDING
G2-01,G2,PROJECT,Release candidate has immutable revision or artifact digest,MUST,revision inspection,build,EV-031,Claude,PASS,修订 0c04cec15（分支 claude/miniapp-lane）；apps/miniapp 与 services/api 工作区干净。两点必须一起读：① **这条分支正被另一位作者并发提交**，建包至今已 20 个提交，引用前先比对 HEAD；② 采证时工作区**不干净**——docs/progress/current-progress.md 与 scripts/verify-ci-gate-coverage.mjs 两处 lane 外未提交改动，前者与门禁无关，后者正是 EV-030 执行的那个脚本本身（RISK-009）
G2-02,G2,PROJECT,Required build and automated checks pass,MUST,automated checks,build,EV-026,Claude,PASS,四条小程序门禁在 HEAD 重跑：静态 110 PASS/0 FAIL（EV-026）· 视觉刻度零新增偏离（EV-028）· 到机码（EV-029）· 契约（EV-027）。三处打折：① services/api typecheck（EV-021）**本轮未重跑**，只凭 git diff --stat 实证 services/api 与 packages/shared 零改动；② CI 门禁覆盖率（EV-030）跑的是带未提交改动的脚本，375/381 不是 HEAD 的数；③ **全部在开发工作区跑，不是在 CI 上跑的**——本分支从未推送、无 PR，GitHub Actions 上一次都没执行过。另记：静态门禁 110 条全绿的同一修订上并存 8 处渲染/可达性缺陷（EV-032），说明这条 PASS 的覆盖面很窄
G2-03,G2,PROJECT,"Configuration, migrations, feature flags, fixtures, and documentation are current",MUST,change review,build,EV-027,Claude,PASS,契约快照仍为 117 端点、12 条带原因的已知缺口，与上一轮逐项相同——本轮未新增或改动任何 api.js 调用。本批无迁移与开关；无 fixture。ec552bb8111a 补上过一次漏跑 --write 的快照（DEF-005）
G2-04,G2,PROJECT,No implementation-critical defect or abandoned placeholder remains,MUST,defect and placeholder scan,build,EV-032,Claude,PASS,已知缺陷全部关闭（DEF-001~013）；全仓无 TODO 占位。**这条 PASS 的穷尽性比上一轮更值得怀疑，不是更少**：本轮又查出 8 处（DEF-006~013，见 EV-032），包含一整个 1467 行完整页面全站不可达（DEF-010）与一处错误页唯一出口不像按钮且低于 48px 触控下限（DEF-007）。8 处一条都不是门禁报的，全部靠人读 WXSS 层叠、WXML 条件链与 flex 盒模型推出来。上一轮的 DEF-001/002 同理（EV-023）。且这 8 处修复本身一处都没在渲染环境看过
G2-05,G2,PROJECT,Scope compliance and backward-compatibility effects are reviewed,MUST,diff review,build,,Claude,PENDING,范围合规：只动 apps/miniapp 与两个 additive 后端端点（GET /policies/:id、GET /resume/self-assessment/questions）+ 一处 CI 脚本串联方式。向后兼容仍未对既有调用方（Kiosk/Admin/Partner）回归｜条目级无 PARTIAL：未全部满足即记 PENDING
G3-01,G3,J-01,Critical journey passes end to end,MUST,runtime E2E,staging,EV-025,TBD,PENDING,一次都没跑过。生产只读探测（EV-009）只证明公开端点可达；生产库岗位/招聘会/政策/终端全为 0 条，**即便今天拿到设备也走不到第一步**。建包后新增 4 页 1 端点，这个缺口一点没变
G3-02,G3,J-01,Applicable failure and recovery paths pass,MUST,runtime scenarios,staging,EV-006,TBD,PENDING,只有批 1 两页的离线状态机探针（fair-venue 69 / fair-visit-plan 33 条断言）且探针未入库；建包后新增的 4 页无任何状态机探针。断网、超时、401 过期、AI 降级的真实恢复行为一律未跑
G3-03,G3,PROJECT,"Security, privacy, auditability, and abuse controls meet the declared risk profile",MUST,security verification,staging,EV-007,TBD,PENDING,只有三模型只读代码评审（基于 c816e55 之前的代码）；建包后新增的 4 页与自我探索的敏感项同意链路未经评审。限流、越权、审计落库一律未在运行时验证
G3-04,G3,PROJECT,"Performance, capacity, reliability, and compatibility thresholds pass",MUST,non-functional verification,staging,,TBD,PENDING,未设阈值也未测。仅有生产公开只读端点 2–4s 的观测（EV-009）；AI 长任务（aiTimeout 90s）真实耗时、并发、机型兼容一律未知
G3-05,G3,J-01,Accessibility and representative device or browser UX pass,MUST,rendered UX verification,staging,EV-008,TBD,PENDING,阻塞项：只有产品负责人能在微信开发者工具/真机执行。雷达图 canvas 与 6 段表单步骤条属于**只有渲染出来才知道对不对**的东西，静态门禁一条都覆盖不到
G3-06,G3,PROJECT,"Mocks, simulations, test data, and untested boundaries are explicitly labeled",MUST,evidence inventory review,staging,,TBD,PENDING,产品侧已改善：小青降级话术与 OCR 低置信度现在会显式披露（EV-023）；契约门禁登记 12 条带原因的未开放端点。但本条要求的是**证据清单级**的复核，尚未由验收权威做过——且已知两处标注失效是事后发现的
G3-07,G3,PROJECT,No unresolved P0 or P1 defects,MUST,defect review,staging,,TBD,PENDING,已知 P0/P1 均已关闭（DEF-001/002/004/007/010）。但缺陷发现面只有源码走查与静态门禁，真机与真后端一次没跑——不足以支撑「无未解决 P0/P1」的结论。2026-09-02 22:25 复核后这条判断只会更强：同一批源码走查又新挖出 8 处（其中 2 处 P1），说明未发现面仍在持续出货，收敛迹象不明显
