evidence_id,criterion_id,captured_at,revision,environment,executor,method,expected,observed,artifact,status,freshness_notes
EV-001,G2-02,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,node apps/miniapp/scripts/verify-miniapp-static.mjs,0 FAIL,103 PASS / 0 FAIL（注册页面 57）,evidence/EV-001-static-gate.txt,PASS,改动 apps/miniapp 任一页面即失效
EV-002,G2-02,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,node apps/miniapp/scripts/verify-miniapp-api-contract.mjs,契约一致,105 端点 · 后端 472 路由 · 已知缺口 12,evidence/EV-002-api-contract.txt,PASS,改动 api.js 或 services/api 路由即失效
EV-003,G2-02,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,node apps/miniapp/scripts/verify-miniapp-visual-scale.mjs,不新增偏离,字号 439/基线 439 · 圆角 181/基线 181,evidence/EV-003-visual-scale.txt,PASS,改动任一页面 wxss 即失效
EV-004,G2-02,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,node apps/miniapp/scripts/verify-pickup-qrcode.mjs,通过,PASS,evidence/EV-004-pickup-qrcode.txt,PASS,改动到机码编码逻辑即失效
EV-005,G2-02,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,tsc --noEmit -p services/api/tsconfig.json（先 prisma generate）,0 error,0 error,evidence/EV-005-api-typecheck.txt,PASS,改动 services/api 或 schema.prisma 即失效
EV-006,G3-02,2026-09-02T18:25:00+08:00,8176c1ee2004,local(node stub),Claude（实现方，非验收权威）,离线状态机探针（各页 33~69 条断言）,全通过,fair-venue 69 / fair-visit-plan 33 全通过,evidence/EV-006-offline-probes.md,PARTIAL,仅逻辑分支，非真实渲染；探针在 scratchpad 未入库
EV-007,G3-03,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,三模型只读代码评审（grok / antigravity / hermes）,无高危,采纳 13 条修复；含一处付费模型连点缺陷,evidence/EV-007-model-review.md,PARTIAL,评审基于修订 c816e55 之前的代码
EV-008,G3-01,2026-09-02T18:25:00+08:00,,wechat-devtools,TBD,视觉抽查清单 5 项,无系统性版式问题,尚未执行,evidence/EV-008-device-spotcheck-PENDING.md,PENDING,阻塞 G3；只有产品负责人能执行
EV-009,G3-01,2026-09-02T18:25:00+08:00,,production-api,TBD,对 https://zyidai.cn 走通现场闭环五段,五段全通,尚未执行,evidence/EV-009-real-backend-PENDING.md,PENDING,阻塞 G3；本批全部端点从未对真后端验证过
EV-010,G0-01,2026-09-02T18:25:00+08:00,8176c1ee2004,repo,Claude（实现方，非验收权威）,文档核对,定位/用户/负责人已定版,CLAUDE.md §1 定位、§9A 页面范围、§15 四 Tab 与硬件基线,evidence/EV-010-claude-md-snapshot.md,PASS,CLAUDE.md 变更即需复核
EV-011,G0-03,2026-09-02T18:25:00+08:00,8176c1ee2004,repo,Claude（实现方，非验收权威）,文档核对,非目标明确,CLAUDE.md §2 禁做清单、§10 数据边界；compliance-boundary.md §4.4/§4.5,evidence/EV-011-compliance-snapshot.md,PASS,合规文档变更即需复核
EV-012,G1-01,2026-09-02T18:25:00+08:00,8176c1ee2004,repo,Claude（实现方，非验收权威）,文档核对,关键旅程与角色已定义,现场闭环五段：行前计划→展位导览→参展企业→现场打材料→出纸,scope.md,PASS,批次范围变更即失效
EV-013,G1-02,2026-09-02T18:25:00+08:00,8176c1ee2004,repo,Claude（实现方，非验收权威）,代码走查,合规口径写入实现,api.js 招聘会段逐方法注释；normalize.js 明示不造值（不跟一体机硬编 applyNote/boothCount:0）,evidence/EV-013-compliance-in-code.md,PASS,api.js/normalize.js 变更即需复核
EV-014,G1-04,2026-09-02T18:25:00+08:00,8176c1ee2004,repo,Claude（实现方，非验收权威）,契约快照,端点契约已版本化,105 端点 + 12 条带原因的已知缺口豁免,evidence/EV-014-contract-summary.md,PASS,跑 --write 即刷新
EV-015,G1-05,2026-09-02T18:25:00+08:00,8176c1ee2004,repo,Claude（实现方，非验收权威）,提交历史核对,验收标准可观察,每个提交 message 含门禁结果与「未验证项」段,evidence/EV-010-claude-md-snapshot.md,PASS,以 git log 为准
EV-016,G2-01,2026-09-02T18:25:00+08:00,8176c1ee2004,local,Claude（实现方，非验收权威）,git rev-parse HEAD,不可变修订,8176c1ee200494b4f59e59b9ffdbbe4696d8b4d1（claude/miniapp-lane，工作区干净）,evidence/EV-001-static-gate.txt,PASS,新提交即失效
