evidence_id,criterion_id,captured_at,revision,environment,executor,method,expected,observed,artifact,status,freshness_notes
EV-001,G1-04,2026-09-02T18:00+08:00,23464350f,local,Claude,从 docs/graph/graph.json 计算：剥 /api/v1 前缀并归一路径参数后，比对前端端点引用与 471 个后端端点,识别出需要新建的后端端点,1820/1820 引用全部命中；仅 2 个 /local/* 走 Windows Terminal Agent（127.0.0.1:9527，设计如此），1 个 POST /print 为图谱把相对片段误判的假阳性,evidence/EV-001-endpoint-coverage.txt,PASS,图谱重算于 6d74c2f17（含 lazy 路由解析修复）；apps/kiosk 路由或 services/api 控制器变更后需重跑
EV-002,G1-03,2026-09-02T17:50+08:00,23464350f,local,Claude,提取 51 页原型全部 data-route，做参数化匹配比对运行时注册路由,原型按钮目标全部可达,"95/95 命中。初次比对报 39 条不匹配，经查为正则误把 JS 拼接片段 data-route=""'+route+'"" 当作字面路由；真实不匹配仅 1 条 /print/pickup（应为 /print/pickup-claim），已改正",evidence/EV-002-route-coverage.txt,PASS,原型或路由表变更后需重跑
EV-003,G2-01,2026-09-02T18:05+08:00,23464350f,local,Claude,grep -rl kiosk-redesign-2026-08 apps/kiosk/src,运行时按新稿实现的文件数,0 个。引用 V6 旧稿 12 个、Gen1 旧稿 4 个。docs/README.md 原称「/ 与 /print-scan 已是新版」与此不符，属过期陈述,evidence/EV-003-design-adoption.txt,FAIL,这是 BL-01 的直接证据
EV-004,G2-02,2026-09-02T18:12+08:00,23464350f,local,Claude,verify-fusion-w2-print-scan / verify-scan-input-safety / verify-backend-p0-contracts + kiosk tsc --noEmit,改动文件相关门禁与类型检查通过,三条门禁全部 PASS（ALL PASS fusion W2 / passed 6 files checked / All backend P0 contract checks passed）；tsc --noEmit 无输出,evidence/EV-004-gates.txt,PASS,仅覆盖本次改动的 3 个文件，不代表全仓库
EV-005,G3-05,2026-09-02T18:04+08:00,23464350f,local,Claude,Firefox headless 1080×1920 逐状态截图 30-my-profile 的 11 个状态并做像素测量,无空白页、无破版,11 个状态内容像素 10613–27867，均有实内容；member 态修复自动居中缺陷后死白由 388px 降为 0,evidence/EV-005-30-my-profile-ready.png,PASS,仅覆盖 30-my-profile 这一张原型，非运行时页面；不构成任何运行时结论
EV-006,G4-01,2026-09-02T18:20+08:00,23464350f,production,Claude,对照 docs 记录的生产提交与 origin/main,生产与主线一致,生产落后 origin/main 107 个提交，未做部署复验,evidence/EV-006-production-drift.txt,FAIL,BL-02；需在服务器实机复验后重新取证
EV-007,G0-01,2026-09-02,-,planning,产品负责人,文档评审,问题、目标用户、决策人已明确,CLAUDE.md §1 定位 / §15 已确认事项 / §16 优先级；决策人为产品负责人,evidence/EV-007-initiative-citation.txt,PASS,CLAUDE.md 变更后复核
EV-008,G0-03,2026-09-02,-,planning,产品负责人,文档评审,范围、非目标、约束成文,§2 不能做的功能（8 条禁止项）/ §9A 核心页面范围 / §10 数据边界,evidence/EV-008-scope-citation.txt,PASS,同上
EV-009,G1-01,2026-09-02,23464350f,local,Claude,路由与原型清点,关键旅程与角色清单,51 页原型 + 107 条运行时路由构成完整旅程清单；三端角色为求职者/管理员/合作机构,evidence/EV-009-journey-inventory.txt,PASS,原型或路由表变更后复核
EV-010,G1-02,2026-09-02,-,planning,产品负责人,文档评审,规则、权限、数据生命周期与失败行为无歧义,每页原型头部「真话边界」逐条写明规则与失败态；合规红线见 docs/compliance/compliance-boundary.md,evidence/EV-010-rules-citation.txt,PASS,合规文档变更后复核
EV-011,G1-03,2026-09-02,23464350f,local,Claude,原型清点,UI 状态可评审,51 个宿主页承载 126 个 ?state= 状态，含 loading/empty/error/权限/失败/恢复态,evidence/EV-011-ui-state-coverage.txt,PASS,原型变更后复核
EV-012,G1-05,2026-09-02,-,planning,产品负责人,标准评审,验收标准可观测且映射到旅程,单页验收六条：按稿实现 / 状态真实不伪造 / 无死链 / 门禁与 typecheck / 1080×1920 实测截图 / 合规复核,evidence/EV-012-acceptance-criteria.txt,PASS,标准变更后复核
EV-013,G3-05,2026-09-02,fbc5bd1a2,windows-kiosk,产品负责人,真机实操：本地驱动控制彩色打印、自动双面出纸,确认本地驱动能否控制彩色与自动双面,两项均通过。长边/短边翻页方向未核对；故障恢复未验证；奔图开放 API 彩色仍未知（协议无该取值，与本条无关）,evidence/EV-013-device-color-duplex.txt,PASS,设备、驱动或 Agent 版本变更后需重验；本条不覆盖故障恢复路径
